text,true_label,pred_label
"According to CEO Matti Perkonoja of the parent company HKScan , the company 's performance in the first quarter of 2010 has remained clearly below the level of the corresponding period in 2009 .",negative,positive
"At some point in 2010 , all separate company names , such as Palmberg , Tekmanni , Lemcon , Forssan Betoni , Suonenjoen Betonituote , among others , will disappear .",neutral,negative
"Cencorp 's net sales in the first quarter is estimated to be EUR0.9-1 .2 m , as compared to EUR4 .5 m in the first quarter 2008 .",negative,positive
Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 .,negative,positive
Earnings per share ( EPS ) amounted to a loss of EUR0 .05 .,negative,neutral
Earnings per share ( EPS ) amounted to a loss of EUR0 .38 .,negative,neutral
Earnings per share ( EPS ) amounted to a loss of to EUR0 .06 .,negative,neutral
Earnings per share were at loss of EUR0 .24 .,negative,neutral
Expense ratio was 102.6 % compared to 92.9 % in the corresponding period in 2005 .,negative,positive
Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) issued on Thursday ( 18 September ) a profit warning for the third quarter of 2008 .,negative,neutral
Finnish forest industry group Stora Enso Oyj issued on Thursday ( 20 March ) a profit warning for the first quarter 2008 .,negative,neutral
Finnish technology company Raute Corporation ( OMX Helsinki : RUTAV ) issued on Tuesday ( 23 September ) a profit warning for the financial year 2008 .,negative,neutral
"In Q1 of 2009 , the company 's operating loss totalled EUR 0.3 mn , compared to a profit of EUR 3.6 mn in Q1 of 2008 .",negative,positive
"In the reporting period , EPS stood at EUR0 .07 versus EUR0 .11 .",negative,positive
"Loss after financial items totalled EUR 9.7 mn , compared to a profit of EUR 1.3 mn in the corresponding period in 2008 .",negative,positive
Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .,negative,positive
"Myllykoski , with one paper plant in Finland , one in the US and three in Germany , had revenues of EUR286m in the first half of 2010 and an operating loss of EUR12m , Reuters said .",negative,neutral
Operating loss amounted to EUR 0.9 mn in the first half of 2006 compared to a profit of EUR 0.5 mn in the first half of 2005 .,negative,positive
"Operating loss of the Pulp Paper Machinery unit was over EUR 3mn in September 2007 - August 2008 , compared to a profit of EUR 3.7 mn a year earlier .",negative,positive
Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 .,negative,positive
"Operating loss totaled EUR 0.8 mn , compared to a profit of EUR 0.5 mn .",negative,positive
"Operating loss totalled EUR 12.7 mn , compared to a profit of EUR 17.7 mn in the first half of 2008 .",negative,positive
"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 .",negative,positive
"Operating loss totalled EUR 4.0 mn , compared to a profit of EUR 8.6 mn in the second quarter of 2008 .",negative,positive
"Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 .",negative,positive
"Operating profit before non-recurring items was EUR 8.3 mn in the first nine months of 2008 , compared to EUR 8.4 in the corresponding period in 2007 .",negative,positive
Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period .,negative,positive
Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,negative,positive
"Pretax loss totalled EUR 49.9 mn , compared to a loss of EUR 15.4 mn in the corresponding period in 2008 .",negative,positive
Pretax profit totaled EUR 4.9 mn compared to EUR 5.2 mn in the first quarter of 2005 .,negative,positive
"Publishing Sweden 's operating loss was EUR 1.1 mn in Q1 of 2009 , compared to a profit of EUR 0.6 mn a year ago .",negative,positive
Raisio 's malting capacity was in full use in 2008 .,positive,neutral
"Raw materials prices have surged in the past year , fueled in part because of the rapid industrialization of China , India and other developing nations .",negative,positive
Rivals say Qualcomm has fewer patents on 3G phones than on earlier versions and should lower its rates .,negative,positive
The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .,negative,neutral
"The company 's annual loss amounted to EEK 18mn , compared to a profit of EEK 7.3 mn in 2008 .",negative,positive
"The fair value change of investment properties was EUR 15.8 mn , compared to EUR 22.9 mn in the third quarter of 2009 .",negative,positive
The stock was hit by the profit warning of Finnish rival Rautaruukki Oyj ( OMX : RTRKS ) .,negative,positive
Finnish Bank of land landsbanken has issued a profit warning .,negative,neutral
"Cerberus Capital Management LP-backed printing paper maker NewPage Corp. has posted mixed second-quarter results , casting a cloud over its planned initial public offering .",negative,positive
"Finnish electronics manufacturing services EMS company Elcoteq SE posted a net loss of 66.4 mln euro $ 91.2 mln for the first half of 2007 , compared to a net profit of 7.1 mln euro $ 9.8 mln for the same period of 2006 .",negative,positive
Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008 .,negative,neutral
Finnish retail software developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .,negative,positive
"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",negative,positive
"In 2009 , Stora Enso 's net loss was EUR 879.7 million compared to EUR 673.4 million in the previous year .",negative,positive
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",negative,positive
"In October , UPM reported a third-quarter net loss of euro86 million $ 110 million compared with a net profit of euro120 million in 2007 .",negative,positive
Operating loss amounted to EUR 0.7 mn compared to a profit of EUR 0.8 mn in the second quarter of 2005 .,negative,positive
"Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008 .",negative,positive
"Operating profit margin was 8.3 % , compared to 11.8 % a year earlier .",negative,positive
Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .,negative,positive
"Operating result showed a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn .",negative,neutral
Performance in 2006 was impacted by the consolidation trend in the telecom sector and the overall and structural changes in the contract manufacturing market in telecommunications technology and industrial electronics .,negative,neutral
"Salcomp Oyj , the Finnish maker of mobile phone chargers , Monday posted a EUR1 .49 million loss in the second quarter compared with a 1.70 million profit in the same period the previous year .",negative,positive
Scanfil has also issued a profit warning .,negative,neutral
Scanfil issued a profit warning on 10 April 2006 .,negative,neutral
"The operating loss amounted to EUR 0.8 mn , compared to a profit of EUR 3.9 mn a year earlier .",negative,positive
"The period-end cash and cash equivalents totaled EUR6 .5 m , compared to EUR10 .5 m in the previous year .",negative,positive
"The poorest index figure was given to Finnish power company Fortum , 4.5 .",negative,neutral
The real estate company posted a net loss of x201a - 59.3 million x201a - 0.21 per share compared with a net profit of x201a - 31 million x201a - 0.11 per share for the corresponding quarter of 2007 .,negative,positive
"The tightened competition situation in the production automation market has affected net sales during 2006 , Cencorp said .",negative,positive
The talks are aimed at restructuring operations and cutting costs .,positive,neutral
"This transaction supports Huhtamaki 's strategic review of rigid plastic consumer goods operations '' , says Huhtam ki Oyj 's CEO Jukka Moisio .",neutral,positive
This transaction will also rationalize our pulp and paper industry related solutions .,positive,neutral
"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea .",positive,neutral
The District Court of Helsinki dismissed all charges as the court of first instance in 2005 .,positive,neutral
"The company reported a profit of 800,000 euro ($ 1.2 mln)on the sale of its Varesvuo Partners sub-group and a loss of 400,000 euro $ 623,000 caused by the sale of its program production subsidiary Oy Filmiteollisuus Fine Ab .",neutral,negative
25 March 2011 - Finnish electronics contract manufacturer Scanfil Oyj HEL : SCF1V said today its plan to merge wholly owned Scanfil EMS Group with Ojala-Yhtyma Oy has hit a snag as shareholders of the domestic rival rejected the deal .,negative,positive
As a consequence the Works Council had withdrawn its petition to suspend the reorganisation .,neutral,negative
During the negotiations a reduction of 21 persons has taken place through natural redundancy or termination of fixed-term contracts .,neutral,negative
Elisa CEO Sami Seppanen said EMT 's slogan Best coverage across Estonia '' clearly gives misleading information to consumers .,negative,positive
"In this case , the effect would be negative in Finland .",negative,neutral
Nokia will certainly disagree with Qualcomm 's views on the patent situation .,negative,neutral
"Outokumpu 's steel mill in Tornio , in Finland , is the suspected source .",negative,neutral
"That 's what I go to bed worrying about every night , ' he said .",negative,neutral
"The challenge for the company , however , is finding new sources of raw material , said Risto Rinne , CEO of Neste Oil .",neutral,positive
"The company will try to adapt the operations through temporary lay-offs of different duration , working hour arrangements , training and development efforts .",neutral,negative
The number of bodily injury cases quadrupled in 2000-2006 .,negative,positive
"Tweeple should check who 's following them , and be cautious when clicking on URLs and tinyurls . ''",neutral,positive
"According to Swedish authorities , traces of the very toxic osmium tetroxide have been found on the coast of Per meri , the Northernmost part of the Gulf of Bothnia .",negative,neutral
Finnish Nordic Aluminium is starting employer-employee negotiations in Finland that concern all staff groups .,neutral,negative
"According to Laavainen , Raisio 's food marketing used to be reactive and inconsistent .",negative,neutral
Another problem is cola-flavoured long drinks .,neutral,negative
Applying for summer work is seen as laborious and stressful .,negative,neutral
Chief executive officer Olli-Pekka Kallasvuo 's changes on Tuesday mark the third time in nine months the company has reshuffled executives and operations as Nokia loses ground to Apple 's iPhone and RIM 's BlackBerry .,negative,neutral
"Cuts equivalent to the costs of about 35-45 employees are the target , the company said .",negative,positive
EB announced in its stock exchange release on November 18th 2008 that J.T. Bergqvist has resigned from the chairmanship and membership of the Board of EB .,negative,neutral
"Fortum is looking to invest in several new production units , including a new waste-fired unit at its Brista combined heat and power ( CHP ) plant and a biofuels-based production unit at Vartan CHP plant .",neutral,positive
"In addition , the production at the Varpaisj rvi factory will be stopped at the beginning of April 2009 .",negative,neutral
"In December , Amer announced the dismissal of CEO Roger Talermo , who had headed the company since 2006 .",neutral,negative
Incap Furniture is presently negotiating staff cuts .,negative,neutral
"Initially , the company said a maximum of 15 people would be made redundant in the parent company and about 15 in its subsidiaries .",negative,neutral
It is the most awkward thing to use if you 're holding the phone with one hand .,negative,neutral
"Jul. 18 -- Police are looking for a man who they say terrorized three males at gunpoint on East Maple Avenue this afternoon , shooting one of them and kidnapping another .",negative,neutral
Korhonen was dismissed from her post of editor in chief of the group 's newspaper Lapin Kansa in December 2008 .,negative,neutral
"( ADPnews ) - Dec 1 , 2009 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today that it will make redundant a total of 18 office and management staff members of its subsidiary Iittala Group Ltd. .",negative,neutral
"( ADPnews ) - Dec 30 , 2009 - Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will furlough employee in its unit Reka Cables Ltd for less than 90 days , starting in January 2010 .",neutral,negative
Managing Director Timo Kohtam ki of Lemmink inen Infra nevertheless points out the continued need for infrastructure construction in the Baltic markets .,neutral,positive
"More than 14,000 customers were left powerless .",negative,neutral
Scanfil will execute the temporary lay-offs by mid-October 2009 and the job cuts by March 2010 .,negative,neutral
"So Mr. Galvan made savings adjustments of his own , buying less liquor and watching portion sizes .",neutral,positive
"Some 250 people , of whom more than 200 are workers , will be retiring from the Raahe Works between 2008 and 2011 .",neutral,negative
The adjustments concern staff in both the Specialty Papers and the Fiber Composites segments .,neutral,negative
"The chilled meat products category led the meat , fish and poultry market in Finland , accounting for a share of 31.4 % .",neutral,positive
"The employer-employee talks concerned about 500 people , that is , the whole staff in Finland .",neutral,negative
"The largest restructuring is planned for Italy , where negotiations on about 40 job cuts are to be initiated today , the company noted .",negative,neutral
The measures result from weak demand in the shipbuilding industry .,negative,positive
"The negotiations concern personnel of Cencorp Corporation and Singulase Oy as whole in Finland and in Sweden , the company said .",neutral,negative
The production is to be liquidated before June 2009 and 325 employees loose their jobs .,negative,neutral
"The prosecutor is also demanding Outokumpu pay a fine of EUR 800,000 at most .",negative,neutral
"The redesigned crushing circuit has been in operation since the start of September and its overall production rate on a weekly basis is in excess of an average of 40,000 tonnes a day .",neutral,positive
They are also upset that some of the machinery and work is taken over to Poland .,negative,neutral
This is due to the postponement of the decision-making of projects in the negotiation phase from the earlier estimation .,neutral,negative
"We are adjusting to the present situation by cutting our capacity and costs without , however , jeopardising our Asia strategy over the longer term .",neutral,positive
"When the web user clicks on the link contained in the mail , he finds himself on a bogus site that imitates that of his bank , and which retrieves his personal banking data .",negative,neutral
"Neste Oil has responded to the challenge posed by the European Union 's target of biofuels accounting for 5.8 % of traffic fuel usage in the EU by 2010 by developing its NExBTL technology for producing diesel fuel from renewables , '' the federation said .",positive,neutral
"There 's the issue of thieves stealing them from building sites , '' said Mr Smith .",negative,neutral
"Belarus OAO Lidskoe Pivo brewery , based in the Grodno Region , reported a 1.1 % decrease in output to 1.045 million decaliters in January-March 2010 , a representative in the administration of the company told .",negative,positive
"However , the suspect stole his burgundy Nissan Altima .",negative,neutral
Layoffs will also take place at the Suomussalmi and Kuhmo plants this autumn as a result of codetermination negotiations held there .,negative,neutral
"Motorola , the world 's second-largest maker of cell phones , unveiled the new phone Tuesday in a bid to resurrect its ailing handset business .",neutral,positive
Temporary layoffs in these units have already started .,neutral,negative
The current reference grade instruments are challenging to operate due to their high price and complexity for routine use .,negative,neutral
The difference can be explained by the fact that two shipping companies have stopped operating in the Gulf of Finland .,neutral,negative
"The dollar fell , though , against the pound and the yen .",negative,neutral
The measures result from the statutory joint negotiations with employees which started in February and concerned all operations in the country .,neutral,negative
The number of salaried employees and group administration employees to be dismissed from the Sievi units is 17 .,negative,neutral
"The talks concerned about 160 people in Finland and the initial estimate was for about 35 redundancies , Fiskars said .",neutral,negative
The total number of filling stations has been on the decrease recently .,negative,neutral
"zip , '' experts warned Tuesday .",neutral,negative
Finnish industrial group Ruukki Group has brought counter action against Finnish metal company Rautaruukki in the dispute concerning the names of the companies .,negative,neutral
Those uncertainties cloud the long-term outlook . '',negative,neutral
"20 October 2010 - Finnish environmental management company Lassila Tikanoja Oyj HEL : LAT1V , or L T , said Monday it expects its operating profit , excluding non-recurring items , for the whole 2010 to be slightly lower than in 2009 .",negative,positive
"According to the Latvian business register , Uponor Latvia closed in red with LVL 99,000 EUR 139,538.17 USD 194,556.48 on turnover of LVL 2.346 mn for 2009 .",negative,neutral
"Dolce Gabbana has asked the European Union to declare Marimekko Corporation 's Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",negative,positive
"ADP News - May 29 , 2009 - Bank of America BofA downgraded today its ratings on Swedish-Finnish paper maker Stora Enso Oyj HEL : STERV and on Finnish sector player UPM-Kymmene Oyj HEL : UPM1V to underperf",negative,positive
Operating profit excluding non-recurring items totaled EUR 5.4 mn compared to EUR 5.5 mn in the corresponding period in 2007 .,negative,positive
"Raute reported a loss per share of EUR0 .86 for the first half of 2009 , against EPS of EUR0 .74 in the corresponding period of 2008 .",negative,positive
The hack had been extra nefarious because the tweets activated without being clicked on - it was enough for Web surfers to move their mouse cursors over them .,negative,neutral
The situation of coated magazine printing paper will continue to be weak .,negative,positive
A high court in Finland has fined seven local asphalt companies more than lion ( $ 117 million ) for operating a cartel .,negative,positive
"The Estonian electronic components factory , Elcoteq , is running out of material because of the closure of air traffic .",negative,neutral
"At present , the trade mark Pit-Produkt is little-known outside the North-West of Russia .",negative,neutral
"Divisional sales demand in the half remained inconsistent '' , it added .",negative,positive
Earnings per share ( EPS ) dropped to EUR 0.21 from EUR 0.31 .,negative,positive
"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",negative,positive
"Frost sold shares for $ 19 million at $ 6.06-7 .12 per share , compared with Friday 's high of $ 11.33 and low of $ 10.14 .",negative,positive
Glaston 's net profit for the third quarter of 2007 dropped to 2.4 mln euro ( $ 3.5 mln ) from 3.5 mln euro ( $ 5.1 mln ) for the corresponding period of 2006 .,negative,positive
"In Q1 of 2009 , the company 's result before taxes from continuing operations , excluding non-recurring items , totalled EUR -0.4 mn , compared to EUR -0.1 mn in the corresponding period in 2008 .",negative,positive
L T 's net profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009 .,negative,positive
"Net cash from operating activities was a negative EUR 0.3 mn , compared to EUR 30.9 mn in 2009 .",negative,positive
Okmetic expects its net sales for the first half of 2009 to be less than in 2008 .,negative,positive
Operating profit excluding non-recurring items was EUR 7.8 million compared to EUR 11.2 million .,negative,positive
Reported operating margin was a negative 5.9 % .,negative,neutral
Stora Chief Executive Jouko Karvinen has described the Russian tariff hikes as a threat to the future of the forest products industry in Finland .,negative,neutral
The acquisition of landsbanken Sverige in 2009 burdened the performance with EUR 3.0 mn .,negative,positive
"The currency effect had a 3.0 pct , or 20 mln euro ( $ 31.3 mln ) , negative impact on the revenue .",negative,positive
The Finnish company previously said its operating result will be lower than the break-even posted a year earlier .,negative,positive
The maritime administration said the ships had ignored warnings about the icy conditions .,negative,neutral
"The offer , deemed too low by Finnlines ' board , stands until 4 pm tomorrow .",negative,neutral
The recent troubles simply make NETeller cheaper .,negative,positive
The union filed a grievance over the company 's overtime assignment policies .,negative,neutral
"Therefore , the company 's 2005 result will remain weaker than that of 2004 .",negative,positive
Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 .,negative,positive
"The considerably weaker U.S. dollar and British pound had an impact on sales and average prices in euros , '' UPM said .",negative,neutral
"The implementation of these programs has had , and will have , negative impacts on 2006 and 2007 earnings , '' Mr Meiklejohn said .",negative,positive
"We see that the market continues to be tight in magazine papers , and our target is to close the deals by the end of the year . ''",negative,positive
EPS dropped to EUR0 .2 from EUR0 .3 .,negative,positive
"Kiosk and cinema operations have suffered , in particular .",negative,positive
Kone shares dropped 4.1 percent to x20ac 43 US$ 55.77 in Helsinki .,negative,positive
Ramirent made 18 million kroons EUR 1.15 mln loss last year the year before the company was 7.3 million kroons in the black .,negative,neutral
Return on capital employed ROCE was a negative 2.3 % compared to 11.3 % in 2007 .,negative,positive
Stora Enso 's target has been cut to EUR 4.85 from EUR 5.55 and Holmen 's target -- to SEK 135 from SEK 150 .,negative,positive
The dismissed staff members will now take the matter to court unless it can be settled outside .,negative,neutral
"The EU Commission said earlier it had fined ThyssenKrupp , United Technologies Corp 's Otis , Schindler AG and Kone Oyj a total of 992.3 mln eur for alleged cartel activity in the lift market going back twelve years .",negative,neutral
"The one dark spot on the horizon , however , was the company 's performance in the Finnish bottled water market .",negative,positive
"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project .",negative,neutral
"The broker highlights Cargotec as its preferred stock in the sector , as it is a pure play on global cargo and container handling , and it expects it to play an active role in further consolidating the industry .",positive,neutral
This ideally placed them in a position to tap into the potential of clean technology .,neutral,positive
"Thanks to his wide contact network and good knowledge of market and business environment , he will give a great contribution to the further development of our Indian operations '' , tells Incap 's President CEO Juhani Hanninen .",positive,neutral
"I use natural fibers to make the clothes more comfortable , to allow your skin to breathe and to be eco-friendly .",positive,neutral
"In addition , a good biological durability is achieved . ''",neutral,positive
"In addition , we will launch a versatile online service to complete the traditional printed newspaper , Mr. Valkama says .",neutral,positive
The board further said the company omitted to tender for a substantial part of the works and as such they had rightfully been found non-responsive by the evaluation team .,neutral,positive
"W rtsil 's solution has been selected for its low fuel consumption , environmentally sound technology , and global service support .",positive,neutral
"The previously concluded adaptation measures , concerning other staff , were adequate for the time being , and the planning operations continue as before at the plant , the company said .",positive,neutral
Bioheapleaching makes extraction of metals from low grade ore economically viable .,neutral,positive
"Dubai Nokia has announced the launch of Comes with Music '' , its ground-breaking service which introduces a new way for people to enjoy music .",positive,neutral
"Rapala VMC Corporation STOCK EXCHANGE RELEASE October 10 , 2008 at 11.45 am Kaupthing Bank Oyj ( Kapthing '' ) has informed Rapala VMC Corporation ( Rapala '' ) that it has interrupted the liquidity providing for Rapala 's share for the time being .",negative,positive
"We offer our clients integrated management consulting , total solutions for complex projects and efficient , best-in-class design and supervision .",neutral,positive
"Amer , which bought Salomon from adidas in October , said the job cuts are aimed at boosting competitiveness .",neutral,positive
"However , this increases signaling traffic which wastes network resources and allows fewer smartphones to connect .",negative,positive
"In a note to clients published , the Dutch broker described the company 's third quarter results as soft ' , although it also noted that Elcoteq retained its guidance , dealers said .",neutral,negative
Rosen was cautious about being too optimistic inregard to the second half of the year .,neutral,negative
The first ship has been delayed and is estimated to be completed in spring 2010 .,negative,neutral
"Adjustment to the fall in price level , in contrast , has been less effective .",negative,positive
17 March 2011 - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway 's Telenor ASA OSL : TEL and Sweden 's TeliaSonera AB STO : TLSN in the short term .,negative,positive
"To ensure low operational cost for radio networks , the BTS modules can be configured , software upgraded and diagnosed remotely .",positive,neutral
"Based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be lower than in 2008 due to lower sales volume .",negative,positive
"As a result , the Russia 's import restrictions on Finnish dairy companies will be canceled on 6 August 2010 .",positive,neutral
"Only the driver was left in the car with the suspect , who was kidnapped and forced at gunpoint to drive to Durham .",negative,neutral
"The chain has been trying to cut its own costs , pressuring vendors such as fitness equipment manufacturer Precor to slash prices .",neutral,negative
The total need for staff cuts corresponds to about 300 man-years .,negative,positive
"According to product manager Lassi Hietanen , building a power plant that burns mixed waste in Helsinki may not be a good idea because this reduces the production of combined power plants using natural gas .",neutral,negative
"According to Scanfil , demand for telecommunications network products has fluctuated significantly in the third quarter of 2006 , and the situation is expected to remain unstable for the rest of the year .",negative,positive
Finnair believes the strike will cause it daily net losses in excess of EUR 2mn due to canceled reservations and passenger re-routing .,negative,positive
The announcement comes two weeks before a key licensing agreement expires between between the two companies which are embroiled in a disagreement over royalty payments for Texas Instrument chips which use Qualcomm-patented technology .,negative,neutral
"Vanhanen said the strike would be extremely damaging '' as some 1,300 participants and reporters begin to arrive in Finland for the one-day EU summit with Russian President Vladimir Putin in Lahti , about 100 kilometers ( 60 miles ) north of Helsinki .",negative,positive
"Operating result , excluding one-off items , totaled EUR 9.1 mn compared to EUR 10.6 mn in continuing operations , excluding one-off items in 2004 .",negative,positive
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative,positive
"The result will also be burdened by increased fixed costs associated with operations in China , and restructuring costs in Japan .",negative,positive
Sales were down 14 per cent in Finland and up 27 per cent abroad where sales were lifted by the strong growth in sales in Russia and Lithuania .,neutral,positive
"In Asia earlier , Japan 's Nikkei index fell 0.62 percent and Hong Kong 's Hang Seng Index rose 0.56 percent .",neutral,positive
"Operating profit for the 12-month period decreased from EUR2 .9 m while turnover increased from EUR24 .5 m , as compared to the financial year 2004 .",negative,positive
"Operating profit for the 12-month period decreased from EUR28 .2 m while net turnover increased from EUR313 .42 m , as compared to the financial year 2004 .",negative,positive
"Operating profit for the 12-month period decreased from EUR5 .4 m while net sales increased from EUR62 .0 m , as compared to the financial year 2004 .",negative,positive
"Operating profit for the 12-month period decreased from EUR9 .6 m while net sales increased from EUR69 .0 m , as compared to 2005 .",neutral,positive
"Operating profit for the six-month period decreased from EUR111 .9 m , while sales increased from EUR1 ,275 m , as compared to the corresponding period in 2006 .",neutral,positive
"Operating profit for the six-month period decreased from EUR21m , while net sales increased from EUR436 .9 m , as compared to the corresponding period in 2007 .",negative,positive
"Operating profit for the three-month period decreased from EUR1 .65 m while net sales increased from EUR14 .6 m , as compared to the corresponding period in 2005 .",negative,positive
"In the first half of 2008 , the Bank 's operating profit fell to EUR 11.8 mn from EUR 18.9 mn , while net interest income increased to EUR 20.9 mn from EUR 18.8 mn in the first half of 2007 .",negative,positive
"Operating profit for the 12-month period decreased from EUR157 .5 m , while net sales increased from EUR634 .3 m , as compared to 2007 .",negative,positive
"Operating profit for the 12-month period decreased from EUR17 .9 m while net sales increased from EUR58 .3 m , as compared to 2007 .",negative,positive
"Operating profit for the nine-month period decreased from EUR19 .9 m while net sales increased from EUR155 .7 m , as compared to the corresponding period in 2007 .",negative,positive
"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 .",negative,positive
"Earlier today , Geberit 's Finnish rival Uponor OYJ cut its full-year sales growth forecast to 6 pct from 10 pct , blaming tough conditions in Germany and the US , as well as currency factors .",negative,positive
"The highest growth would be in China , while weakening demand would continue in North America , UPM said .",neutral,positive
"The two companies will also partner in further developing Raiso 's cholesterol lowering brand , Benecol .",positive,neutral
Sales fell abroad but increased in Finland .,neutral,positive
"Since the association 's data do not cover sales figures from about 100 small local breweries and sales of imported beer products , the actual market shares of its members are smaller than those given in the report .",negative,neutral
"At 1.33 pm , the OMX Helsinki 25 was 0.30 pct lower at 2,463.67 and the OMX Helsinki was down 0.37 pct at 8,537.42 on volume of 256 mln eur .",negative,neutral
HELSINKI ( AFX ) - KCI Konecranes said that Franklin Resources Inc 's share of voting rights in the Finnish cranes company fell last week to 4.65 pct from more than 9 pct in October 2005 .,negative,positive
"The OMX Helsinki 25 ended 0.47 pct lower at 3,150.55 and the OMX Helsinki was down 0.21 pct at 10,736.42 on 1.523 bln eur turnover .",negative,neutral
